,fold,pvalue,loss,sampler
54,ind,1.2143363436161648e-19,0.4231296491622924,ClusterSampler
55,ind,3.72681167007024e-08,0.2386970353126526,ClusterSampler
56,ind,3.69135092793956e-14,0.3043180096149445,RandomSampler
57,ind,8.41294471350562e-12,0.3475512397289276,RandomSampler
58,ind,4.034789738092817e-13,0.1960015344619751,SequentialSampler
59,ind,4.357532466962104e-18,0.4600567030906677,SequentialSampler
147,ood,1.5197526876152524e-19,0.3254741060733795,ClusterSampler
148,ood,5.07134059271136e-27,0.4885279941558837,ClusterSampler
149,ood,1.2032581658605788e-36,0.6506586992740631,ClusterSampler
150,ood,5.701162278425319e-24,0.5005365622043609,RandomSampler
151,ood,4.330745514905412e-28,0.50115673661232,RandomSampler
152,ood,9.909429058719348e-20,0.274058563709259,RandomSampler
153,ood,7.920592463932865e-28,0.6037149667739868,SequentialSampler
154,ood,5.49000138482033e-29,0.490632621049881,SequentialSampler
155,ood,3.425914761578669e-35,0.4125558030605316,SequentialSampler
