,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,loss
0,nico_dim,nico_dim,ResNetClassifier,10,0.0006698185046941885,0.004396267459114668,5.550757813453674
1,nico_dim,nico_dim,ResNetClassifier,10,0.00013142149781500358,0.004396267459114668,4.805194330215454
2,nico_dim,nico_dim,ResNetClassifier,10,2.0295888885677515e-07,0.002783205073058452,4.444630074501037
3,nico_dim,nico_dim,ResNetClassifier,10,3.355315738352573e-05,0.002783205073058452,5.056035137176513
4,nico_dim,nico_dim,ResNetClassifier,10,0.00011849629417253449,0.0006178973521373264,4.773183798789978
5,nico_dim,nico_dim,ResNetClassifier,10,0.0004945092893181573,0.002783205073058452,5.259310388565064
6,nico_dim,nico_dim,ResNetClassifier,10,6.240145408893724e-05,0.0017252080065113414,4.990091466903687
7,nico_dim,nico_dim,ResNetClassifier,10,0.00011514165352132314,0.0006178973521373264,5.158576488494873
8,nico_dim,nico_dim,ResNetClassifier,10,0.00040030019152609275,0.00010956692813324749,5.020327353477478
9,nico_dim,nico_dim,ResNetClassifier,10,2.866170626000276e-05,0.002783205073058452,5.392290043830871
10,nico_dim,nico_dim,ResNetClassifier,10,0.00023849662989254165,0.00020037382917069028,5.480889797210693
11,nico_dim,nico_dim,ResNetClassifier,10,0.00010230891801194115,0.0017252080065113414,5.016549754142761
12,nico_dim,nico_dim,ResNetClassifier,10,1.1762470867363437e-06,0.00010956692813324749,4.627246475219726
13,nico_dim,nico_dim,ResNetClassifier,10,0.0001903419587837879,0.004396267459114668,5.570014691352844
14,nico_dim,nico_dim,ResNetClassifier,10,3.4183358483027617e-06,0.0006178973521373264,5.395793437957764
15,nico_dim,nico_dim,ResNetClassifier,10,0.0003759205353049451,0.002783205073058452,5.394609951972962
16,nico_dim,nico_dim,ResNetClassifier,10,0.000657671358272215,0.0017252080065113414,5.783409953117371
17,nico_dim,nico_dim,ResNetClassifier,10,0.00038827855070405,0.006806179435775496,5.689206552505493
18,nico_dim,nico_dim,ResNetClassifier,10,4.831301439089999e-06,0.0006178973521373264,4.903984475135803
19,nico_dim,nico_dim,ResNetClassifier,10,0.0018074320685367918,0.006806179435775496,5.673014163970947
20,nico_dim,nico_dim,ResNetClassifier,10,0.0009486059175531905,0.0017252080065113414,6.521302795410156
21,nico_dim,nico_dim,ResNetClassifier,10,0.0010704416270530812,0.004396267459114668,6.668576431274414
22,nico_dim,nico_dim,ResNetClassifier,10,0.005977906244837091,0.004396267459114668,6.613978528976441
23,nico_dim,nico_dim,ResNetClassifier,10,0.00014545651616468597,0.0017252080065113414,6.405645322799683
24,nico_dim,nico_dim,ResNetClassifier,10,4.4000391006689826e-06,5.809627289330904e-05,6.331583261489868
25,nico_dim,nico_dim,ResNetClassifier,10,0.0017225401563844992,0.0017252080065113414,6.09166898727417
26,nico_dim,nico_dim,ResNetClassifier,10,0.0035131985545935264,0.0006178973521373264,6.83258695602417
27,nico_dim,nico_dim,ResNetClassifier,10,0.0001223756667848707,0.0010451859722047311,6.133367586135864
28,nico_dim,nico_dim,ResNetClassifier,10,0.002129646041528198,0.006806179435775496,6.28573579788208
29,nico_dim,nico_dim,ResNetClassifier,10,0.0006443430518880306,0.004396267459114668,6.560367059707642
30,nico_dim,nico_dim,ResNetClassifier,10,0.00044972967227761205,0.0017252080065113414,6.3834693908691404
31,nico_dim,nico_dim,ResNetClassifier,10,0.0012123315185925327,0.0017252080065113414,6.5803581237792965
32,nico_dim,nico_dim,ResNetClassifier,10,0.0004761936283883342,0.002783205073058452,6.499963474273682
33,nico_dim,nico_dim,ResNetClassifier,10,0.002439035645016831,0.006806179435775496,7.050626945495606
34,nico_dim,nico_dim,ResNetClassifier,10,0.0013060651878809013,0.0017252080065113414,6.853276300430298
35,nico_dim,nico_dim,ResNetClassifier,10,0.0024264222167537596,0.002783205073058452,6.478247356414795
36,nico_dim,nico_dim,ResNetClassifier,10,0.0014876035852858583,0.004396267459114668,5.859286546707153
37,nico_dim,nico_dim,ResNetClassifier,10,0.0011225049223650718,0.002783205073058452,5.11956689208746
