,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p
0,Njordind,Njordind,VanillaVAE,10,0.006733851650628645,0.002783205073058452
1,Njordind,Njordind,VanillaVAE,10,0.026906667663925576,0.08578017804312826
2,Njordind,Njordind,VanillaVAE,10,0.014123657798748135,0.15199631923056828
3,Njordind,Njordind,VanillaVAE,10,0.0033880548394152723,0.19774379978505477
4,Njordind,Njordind,VanillaVAE,10,0.005037609050431145,0.15199631923056828
5,Njordind,Njordind,VanillaVAE,10,0.013412662491932847,0.04541899021115892
6,Njordind,Njordind,VanillaVAE,10,0.0027711597844647176,0.25303977906339303
7,Njordind,Njordind,VanillaVAE,10,0.007395337116129893,0.006806179435775496
8,Njordind,Njordind,VanillaVAE,10,1.0679686357139059e-05,0.002783205073058452
9,Njordind,Njordind,VanillaVAE,10,0.0044406734914396095,0.11503649785001328
10,Njordind,Njordind,VanillaVAE,10,0.003594125866181187,0.006806179435775496
11,Njordind,Njordind,VanillaVAE,10,0.0035675423420961075,0.03219223124637178
12,Njordind,Njordind,VanillaVAE,10,0.00030094990952809884,0.02243304151007743
13,Njordind,Njordind,VanillaVAE,10,0.030546170697611452,0.15199631923056828
14,Njordind,Njordind,VanillaVAE,10,0.0003665754049144196,0.04541899021115892
15,Njordind,Njordind,VanillaVAE,10,0.0009142545495412811,7.052441913048601e-06
16,Njordind,Njordind,VanillaVAE,10,0.004516549344710119,0.08578017804312826
17,Njordind,Njordind,VanillaVAE,10,9.493594417668856e-05,0.02243304151007743
18,Njordind,Njordind,VanillaVAE,10,4.066221548433372e-05,0.010329637176077959
19,Njordind,Njordind,VanillaVAE,10,0.010683441859773657,0.15199631923056828
20,Njordind,Njordind,VanillaVAE,10,0.000789959345907598,0.04541899021115892
21,Njordind,Njordind,VanillaVAE,10,0.00290181215290208,0.02243304151007743
22,Njordind,Njordind,VanillaVAE,10,0.0011557749658058412,0.010329637176077959
23,Njordind,Njordind,VanillaVAE,10,0.0057678737502888594,0.010329637176077959
24,Njordind,Njordind,VanillaVAE,10,0.08008455274620663,0.31818120337184574
25,Njordind,Njordind,VanillaVAE,10,0.00011710866472677536,0.002783205073058452
26,Njordind,Njordind,VanillaVAE,10,0.04446639979089795,0.002783205073058452
27,Njordind,Njordind,VanillaVAE,10,0.002745955334091076,0.0017252080065113414
28,Njordind,Njordind,VanillaVAE,10,0.0016395151062682755,0.06297834565003745
29,Njordind,Njordind,VanillaVAE,10,0.00365685023030081,0.11503649785001328
30,Njordind,Njordind,VanillaVAE,10,0.01994032570798665,0.15199631923056828
31,Njordind,Njordind,VanillaVAE,10,6.881577191034291e-05,0.04541899021115892
32,Njordind,Njordind,VanillaVAE,10,0.011881431023637479,0.02243304151007743
33,Njordind,Njordind,VanillaVAE,10,4.1431478058822147e-05,0.015364482537903207
34,Njordind,Njordind,VanillaVAE,10,0.12488774643732248,0.02243304151007743
35,Njordind,Njordind,VanillaVAE,10,0.04973950489540091,0.11503649785001328
36,Njordind,Njordind,VanillaVAE,10,0.00048159509168927176,0.08578017804312826
37,Njordind,Njordind,VanillaVAE,10,0.0001594840100156736,0.00035640144010714247
38,Njordind,Njordind,VanillaVAE,10,0.004410645604465433,0.006806179435775496
