,Unnamed: 0,fold,sampler,pvalue,loss
0,0,ind,ClassOrderSampler,8.809089027341701e-12,3.497265338897705
1,0,ind,ClassOrderSampler,1.5530187775940956e-10,3.189323902130127
2,0,ind,ClassOrderSampler,5.82017380313308e-10,3.2002501487731934
3,0,ind,ClassOrderSampler,2.313734484108365e-09,3.976474285125733
4,0,ind,ClassOrderSampler,1.2137429582735512e-14,4.174753665924072
5,0,ind,ClassOrderSampler,1.3742918275185318e-07,4.694797992706299
6,0,ind,ClassOrderSampler,5.9340543233941e-10,3.96159291267395
7,0,ind,ClassOrderSampler,7.69457995515362e-14,3.710256576538086
8,0,ind,ClassOrderSampler,7.707932272526845e-13,3.848931789398194
9,0,ind,ClassOrderSampler,2.4179270738683948e-11,3.886682987213135
10,0,ind,ClassOrderSampler,4.716752341454896e-08,3.408726453781128
11,0,ind,ClassOrderSampler,9.653540226248667e-12,3.1819610595703125
12,0,ind,ClassOrderSampler,1.9716463250210242e-14,4.163067817687988
13,0,ind,ClassOrderSampler,2.5969449738521355e-16,4.230388164520264
14,0,ind,ClassOrderSampler,4.961950906471461e-13,4.011568546295166
15,0,ind,ClassOrderSampler,3.3608557339068395e-12,3.8606228828430176
16,0,ind,ClassOrderSampler,5.361345363577498e-15,3.716262817382813
17,0,ind,ClassOrderSampler,5.623118041814942e-16,3.475557804107666
18,0,ind,ClassOrderSampler,1.9444603824201234e-13,2.704603672027588
19,0,ind,ClassOrderSampler,1.2444683622613047e-11,2.73698091506958
20,0,ind,ClassOrderSampler,3.429565318542725e-11,2.609595775604248
21,0,ind,ClassOrderSampler,2.097480935458608e-14,3.01440954208374
22,0,ind,ClassOrderSampler,2.4022736513865993e-09,4.335207939147949
23,0,ind,ClassOrderSampler,3.1742390983072707e-10,4.25277042388916
24,0,ind,ClassOrderSampler,2.681519639587344e-12,3.885576725006104
25,0,ind,ClassOrderSampler,2.382454133695727e-09,2.3793904781341557
26,0,ind,ClassOrderSampler,3.8814150983582725e-11,2.1238179206848145
27,0,ind,ClassOrderSampler,7.579626145869724e-10,2.195810317993164
28,0,ind,ClassOrderSampler,2.311771449523649e-14,1.3464787006378174
29,0,ind,ClassOrderSampler,1.6342645327609868e-13,1.3753154277801514
30,0,ind,ClassOrderSampler,3.187666005905127e-13,1.0781043767929075
31,0,ind,ClassOrderSampler,3.271509167460535e-12,3.951190233230591
32,0,ind,ClassOrderSampler,8.018482236648677e-14,4.380425453186035
33,0,ind,ClassOrderSampler,1.648213337595193e-07,4.212313175201416
34,0,ind,ClassOrderSampler,1.879729762819273e-15,3.0860517024993896
35,0,ind,ClassOrderSampler,6.964943534812268e-14,3.343388319015503
36,0,ind,ClassOrderSampler,1.166120281181615e-07,1.7845752239227295
37,0,ind,ClassOrderSampler,3.147434884978211e-16,1.212996244430542
38,0,ind,ClassOrderSampler,1.309668331971332e-12,1.479445457458496
39,0,ind,ClassOrderSampler,5.435302039678731e-13,1.7323344945907593
40,0,ind,ClassOrderSampler,1.1547245841329141e-08,2.216424465179444
41,0,ind,ClassOrderSampler,2.4363155890580704e-06,5.504549980163574
