,fold,pvalue,loss,sampler
54,ind,0.0001913186373603,0.4231296491622924,ClusterSampler
55,ind,0.0232843104169774,0.2386970353126526,ClusterSampler
56,ind,0.0490556939104057,0.3043180096149445,RandomSampler
57,ind,0.0198917704807474,0.3475512397289276,RandomSampler
58,ind,0.0035218399057343,0.1960015344619751,SequentialSampler
59,ind,9.496857280483418e-05,0.4600567030906677,SequentialSampler
147,ood,0.0001203077080763,0.3254741060733795,ClusterSampler
148,ood,9.214159199916617e-08,0.4885279941558837,ClusterSampler
149,ood,1.303660797297563e-18,0.6506586992740631,ClusterSampler
150,ood,6.457541418962002e-09,0.5005365622043609,RandomSampler
151,ood,2.1540431996748812e-05,0.50115673661232,RandomSampler
152,ood,1.0367072483612138e-23,0.274058563709259,RandomSampler
153,ood,2.499867876984005e-06,0.6037149667739868,SequentialSampler
154,ood,1.6883897664446674e-10,0.490632621049881,SequentialSampler
155,ood,1.6550663319631664e-16,0.4125558030605316,SequentialSampler
