,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,sampler
22,Njordind,Njordind,VanillaVAE,10,0.020383616687875028,0.08578017804312826,RandomSampler
23,Njordind,Njordind,VanillaVAE,10,0.0017925205949681012,0.11503649785001328,RandomSampler
24,Njordind,Njordind,VanillaVAE,10,0.013539547008082353,0.11503649785001328,RandomSampler
25,Njordind,Njordind,VanillaVAE,10,0.021853535505542254,0.004396267459114668,RandomSampler
26,Njordind,Njordind,VanillaVAE,10,7.67458526363902e-05,0.0006178973521373264,RandomSampler
27,Njordind,Njordind,VanillaVAE,10,0.01867599014224075,0.04541899021115892,RandomSampler
28,Njordind,Njordind,VanillaVAE,10,0.10349282958863093,0.06297834565003745,RandomSampler
29,Njordind,Njordind,VanillaVAE,10,0.011221701591191624,0.19774379978505477,RandomSampler
30,Njordind,Njordind,VanillaVAE,10,0.021408326556014545,0.04541899021115892,RandomSampler
31,Njordind,Njordind,VanillaVAE,10,0.008719494922843962,0.02243304151007743,RandomSampler
32,Njordind,Njordind,VanillaVAE,10,8.256467014639921e-07,0.004396267459114668,RandomSampler
33,Njordind,Njordind,VanillaVAE,10,0.09402876865441656,0.03219223124637178,RandomSampler
34,Njordind,Njordind,VanillaVAE,10,2.117985189080914e-10,0.02243304151007743,RandomSampler
35,Njordind,Njordind,VanillaVAE,10,1.3355755576267069e-05,0.002783205073058452,RandomSampler
36,Njordind,Njordind,VanillaVAE,10,0.006412851452675988,0.03219223124637178,RandomSampler
37,Njordind,Njordind,VanillaVAE,10,0.001940956920376387,0.04541899021115892,RandomSampler
38,Njordind,Njordind,VanillaVAE,10,0.008790500112916266,0.11503649785001328,RandomSampler
39,Njordind,Njordind,VanillaVAE,10,6.196287440300618e-06,0.00035640144010714247,RandomSampler
40,Njordind,Njordind,VanillaVAE,10,0.0017982167291841961,0.11503649785001328,RandomSampler
41,Njordind,Njordind,VanillaVAE,10,0.00029451033558135513,0.06297834565003745,RandomSampler
42,Njordind,Njordind,VanillaVAE,10,0.0012044368394742654,0.11503649785001328,RandomSampler
43,Njordind,Njordind,VanillaVAE,10,1.64410326325053e-05,0.015364482537903207,RandomSampler
44,Njordind,Njordind,VanillaVAE,10,0.019641479072099344,0.04541899021115892,RandomSampler
45,Njordind,Njordind,VanillaVAE,10,2.8175049102643526e-06,0.04541899021115892,RandomSampler
46,Njordind,Njordind,VanillaVAE,10,0.0012659743287908485,0.02243304151007743,RandomSampler
47,Njordind,Njordind,VanillaVAE,10,0.003979676665988668,0.04541899021115892,RandomSampler
48,Njordind,Njordind,VanillaVAE,10,0.0025321532837675876,0.002783205073058452,RandomSampler
49,Njordind,Njordind,VanillaVAE,10,0.008091908675431414,0.04541899021115892,RandomSampler
50,Njordind,Njordind,VanillaVAE,10,0.0012812735432516911,0.06297834565003745,RandomSampler
51,Njordind,Njordind,VanillaVAE,10,0.013292520392359508,0.04541899021115892,RandomSampler
52,Njordind,Njordind,VanillaVAE,10,0.0036532395612643115,0.02243304151007743,RandomSampler
53,Njordind,Njordind,VanillaVAE,10,0.04349946608372923,0.03219223124637178,RandomSampler
54,Njordind,Njordind,VanillaVAE,10,0.004492577957421212,0.11503649785001328,RandomSampler
55,Njordind,Njordind,VanillaVAE,10,0.002546444859432332,0.06297834565003745,RandomSampler
56,Njordind,Njordind,VanillaVAE,10,0.003946663382772899,0.08578017804312826,RandomSampler
57,Njordind,Njordind,VanillaVAE,10,2.8443454025553606e-05,0.010329637176077959,RandomSampler
58,Njordind,Njordind,VanillaVAE,10,0.0025818339442475234,0.11503649785001328,RandomSampler
59,Njordind,Njordind,VanillaVAE,10,0.019204489290218563,0.11503649785001328,RandomSampler
60,Njordind,Njordind,VanillaVAE,10,0.0006987821440230227,0.00035640144010714247,RandomSampler
61,Njordind,Njordind,VanillaVAE,10,3.363986565672008e-05,0.11503649785001328,RandomSampler
62,Njordind,Njordind,VanillaVAE,10,0.004620273474475389,0.02243304151007743,RandomSampler
63,Njordind,Njordind,VanillaVAE,10,0.059237166163968236,0.04541899021115892,RandomSampler
64,Njordind,Njordind,VanillaVAE,10,0.019762157504160993,0.04541899021115892,RandomSampler
65,Njordind,Njordind,VanillaVAE,10,0.022110282995913777,0.03219223124637178,RandomSampler
66,Njordind,Njordind,VanillaVAE,10,0.0041626915726872,0.11503649785001328,RandomSampler
67,Njordind,Njordind,VanillaVAE,10,0.0023845694774491093,0.004396267459114668,RandomSampler
68,Njordind,Njordind,VanillaVAE,10,0.015691581322011205,0.19774379978505477,RandomSampler
69,Njordind,Njordind,VanillaVAE,10,0.00019572947267682813,0.002783205073058452,RandomSampler
70,Njordind,Njordind,VanillaVAE,10,0.007314228728870118,0.015364482537903207,RandomSampler
71,Njordind,Njordind,VanillaVAE,10,0.016819773351695266,0.08578017804312826,RandomSampler
72,Njordind,Njordind,VanillaVAE,10,0.07357074851722123,0.08578017804312826,RandomSampler
73,Njordind,Njordind,VanillaVAE,10,0.01953741308410617,0.02243304151007743,RandomSampler
74,Njordind,Njordind,VanillaVAE,10,0.0036731380986556763,0.04541899021115892,RandomSampler
75,Njordind,Njordind,VanillaVAE,10,0.0010479346022501657,0.11503649785001328,RandomSampler
76,Njordind,Njordind,VanillaVAE,10,0.011610520142990799,0.015364482537903207,RandomSampler
77,Njordind,Njordind,VanillaVAE,10,0.0012680507749157632,0.004396267459114668,RandomSampler
78,Njordind,Njordind,VanillaVAE,10,0.015410387447195806,0.25303977906339303,RandomSampler
79,Njordind,Njordind,VanillaVAE,10,0.0054237652462577664,0.06297834565003745,RandomSampler
80,Njordind,Njordind,VanillaVAE,10,0.0033695553998945825,0.08578017804312826,RandomSampler
81,Njordind,Njordind,VanillaVAE,10,8.054461003298845e-06,0.0017252080065113414,RandomSampler
82,Njordind,Njordind,VanillaVAE,10,0.0012264315262938503,0.006806179435775496,RandomSampler
83,Njordind,Njordind,VanillaVAE,10,0.0030349512395674368,0.02243304151007743,RandomSampler
84,Njordind,Njordind,VanillaVAE,10,0.019425881800868683,0.02243304151007743,RandomSampler
85,Njordind,Njordind,VanillaVAE,10,0.06245303862375717,0.31818120337184574,RandomSampler
86,Njordind,Njordind,VanillaVAE,10,0.0005628596752597469,0.00010956692813324749,RandomSampler
87,Njordind,Njordind,VanillaVAE,10,0.003488852540676165,0.11503649785001328,RandomSampler
88,Njordind,Njordind,VanillaVAE,10,0.01072112067043085,0.11503649785001328,RandomSampler
89,Njordind,Njordind,VanillaVAE,10,0.054691474076236424,0.19774379978505477,RandomSampler
90,Njordind,Njordind,VanillaVAE,10,0.05009823927085899,0.481539813803134,RandomSampler
91,Njordind,Njordind,VanillaVAE,10,0.0015268886384514624,0.02243304151007743,RandomSampler
92,Njordind,Njordind,VanillaVAE,10,0.00017996629780151413,0.02243304151007743,RandomSampler
93,Njordind,Njordind,VanillaVAE,10,0.0013692017727584005,0.03219223124637178,RandomSampler
94,Njordind,Njordind,VanillaVAE,10,0.006140022629443083,0.31818120337184574,RandomSampler
95,Njordind,Njordind,VanillaVAE,10,0.010344974226374704,0.08578017804312826,RandomSampler
96,Njordind,Njordind,VanillaVAE,10,0.0008948935882132343,0.006806179435775496,RandomSampler
97,Njordind,Njordind,VanillaVAE,10,0.0001582460029606004,0.00020037382917069028,RandomSampler
98,Njordind,Njordind,VanillaVAE,10,0.00943183652187618,0.11503649785001328,RandomSampler
99,Njordind,Njordind,VanillaVAE,10,0.00962312165569934,0.11503649785001328,RandomSampler
100,Njordind,Njordind,VanillaVAE,10,0.09613965609137776,0.19774379978505477,RandomSampler
101,Njordind,Njordind,VanillaVAE,10,4.574405256030186e-06,0.006806179435775496,RandomSampler
102,Njordind,Njordind,VanillaVAE,10,0.004937313870048921,0.02243304151007743,RandomSampler
103,Njordind,Njordind,VanillaVAE,10,0.0018551082574394906,0.015364482537903207,RandomSampler
104,Njordind,Njordind,VanillaVAE,10,0.005719090632886763,0.06297834565003745,RandomSampler
105,Njordind,Njordind,VanillaVAE,10,0.0023759915187886987,0.04541899021115892,RandomSampler
106,Njordind,Njordind,VanillaVAE,10,0.0032119343438016534,0.11503649785001328,RandomSampler
107,Njordind,Njordind,VanillaVAE,10,0.09546241922475696,0.19774379978505477,RandomSampler
108,Njordind,Njordind,VanillaVAE,10,0.0008141576996404558,0.03219223124637178,RandomSampler
109,Njordind,Njordind,VanillaVAE,10,5.9778643092567076e-05,0.004396267459114668,RandomSampler
110,Njordind,Njordind,VanillaVAE,10,0.029489686384273073,0.03219223124637178,RandomSampler
111,Njordind,Njordind,VanillaVAE,10,0.01771561475905037,0.19774379978505477,RandomSampler
112,Njordind,Njordind,VanillaVAE,10,0.005296394266870113,0.04541899021115892,RandomSampler
113,Njordind,Njordind,VanillaVAE,10,0.0007904097775891995,0.002783205073058452,RandomSampler
114,Njordind,Njordind,VanillaVAE,10,0.0032686121559643956,0.06297834565003745,RandomSampler
115,Njordind,Njordind,VanillaVAE,10,0.00012489302271685203,0.004396267459114668,RandomSampler
116,Njordind,Njordind,VanillaVAE,10,0.001123091928224871,0.25303977906339303,RandomSampler
117,Njordind,Njordind,VanillaVAE,10,0.0004242927526246067,0.02243304151007743,RandomSampler
118,Njordind,Njordind,VanillaVAE,10,0.04616882836443792,0.06297834565003745,RandomSampler
119,Njordind,Njordind,VanillaVAE,10,0.05346383460649129,0.31818120337184574,RandomSampler
120,Njordind,Njordind,VanillaVAE,10,0.000870971721211613,0.19774379978505477,RandomSampler
