,fold,pvalue,loss,sampler
0,ind,1.2484368163868575e-09,0.6117715835571289,ClusterSampler
1,ind,1.0796021928529439e-07,0.4437417566776275,ClusterSampler
2,ind,4.476078496820023e-06,0.114470237493515,ClusterSampler
3,ind,5.054919657494562e-06,0.2143265306949615,ClusterSampler
4,ind,2.4388604669406625e-05,0.5523055493831635,ClusterSampler
5,ind,1.5808728274596892e-09,0.5578476369380951,ClusterSampler
6,ind,2.93350311058238e-07,0.2123304367065429,ClusterSampler
7,ind,2.0408062200312997e-06,0.4062776386737823,ClusterSampler
8,ind,5.702604680600104e-06,0.208201515674591,ClusterSampler
9,ind,0.0011373875528125,0.089662629365921,ClusterSampler
10,ind,1.7350663106940596e-07,0.2478847444057464,ClusterSampler
11,ind,1.5992710639354965e-07,0.2683085024356842,ClusterSampler
12,ind,2.6817030764720535e-05,0.2383197069168091,RandomSampler
13,ind,0.0090108948449806,0.2645639002323151,RandomSampler
14,ind,0.0052008214786254,0.2253675103187561,RandomSampler
15,ind,0.0001275311624966,0.4162703096866608,RandomSampler
16,ind,0.0001306128017215,0.3212660789489746,RandomSampler
17,ind,0.0001017017259138,0.3083727180957794,RandomSampler
18,ind,5.945731696747624e-06,0.2500943660736084,RandomSampler
19,ind,0.0001578515332321,0.3047870337963104,RandomSampler
20,ind,0.0001104050299947,0.2888401508331298,RandomSampler
21,ind,3.5451135046644294e-05,0.4715590298175812,RandomSampler
22,ind,0.0002448198334542,0.4088434636592865,RandomSampler
23,ind,3.937685270648759e-05,0.4166033506393433,RandomSampler
24,ind,1.881882215202841e-12,0.0824121236801147,SequentialSampler
25,ind,0.0021027417140533,0.0673702180385589,SequentialSampler
26,ind,2.1768053297680355e-06,0.0899709105491638,SequentialSampler
27,ind,8.28172119742901e-07,0.1222903609275817,SequentialSampler
28,ind,1.2484368163868575e-09,0.6179640591144562,SequentialSampler
29,ind,4.2798430426352486e-10,0.5002748012542725,SequentialSampler
30,ind,1.4971690980741642e-10,0.2885370671749115,SequentialSampler
31,ind,2.4388604669406625e-05,0.4586687326431274,SequentialSampler
32,ind,1.7345920158888364e-06,0.6194147825241089,SequentialSampler
33,ind,1.2337684764015563e-16,0.4333881318569183,SequentialSampler
34,ind,1.315837537261076e-07,0.2601175963878631,SequentialSampler
35,ind,4.2319427209941886e-07,0.3358683586120605,SequentialSampler
63,ood,4.0037241279626304e-10,0.4039164543151855,ClusterSampler
64,ood,2.806092633960664e-14,0.1431710004806518,ClusterSampler
65,ood,2.6809198256140338e-15,0.5802367091178894,ClusterSampler
66,ood,2.609859060713148e-25,0.3337141394615173,ClusterSampler
67,ood,2.4109356031055942e-20,0.8294120788574219,ClusterSampler
68,ood,1.3902284482117238e-10,0.7297592401504517,ClusterSampler
69,ood,5.506294979847345e-14,0.6252699613571167,ClusterSampler
70,ood,2.128927462028379e-11,0.3333409488201141,ClusterSampler
71,ood,2.609859060713148e-25,0.6046262800693512,ClusterSampler
72,ood,2.8708449667844585e-24,0.5065522789955139,ClusterSampler
73,ood,5.014202489936786e-12,0.89936962723732,ClusterSampler
74,ood,1.7225069800706742e-23,0.4343645215034485,ClusterSampler
75,ood,1.7225069800706742e-23,0.8462699592113495,ClusterSampler
76,ood,9.090925615590427e-17,0.4968352556228638,ClusterSampler
77,ood,1.4770237141108688e-11,0.2338760495185852,ClusterSampler
78,ood,0.0003502451518641,0.2906735777854919,ClusterSampler
79,ood,7.651679083392952e-10,0.4396393418312073,ClusterSampler
80,ood,3.666143929440088e-08,0.5292793691158295,ClusterSampler
81,ood,0.0001191957018103,0.4043841421604156,ClusterSampler
82,ood,4.257724874901214e-06,0.590987753868103,RandomSampler
83,ood,1.4930078444072284e-12,0.4842617869377136,RandomSampler
84,ood,3.3355440743306e-14,0.6042077124118805,RandomSampler
85,ood,1.669254644670058e-07,0.609248548746109,RandomSampler
86,ood,4.065972118077456e-12,0.4840483903884888,RandomSampler
87,ood,7.81773853887629e-08,0.6265791237354279,RandomSampler
88,ood,1.6631360780802847e-05,0.5596214294433594,RandomSampler
89,ood,3.666143929440088e-08,0.3089372277259826,RandomSampler
90,ood,2.3589311612161652e-09,0.5377056479454041,RandomSampler
91,ood,3.370933177099763e-05,0.5748299300670624,RandomSampler
92,ood,5.881105642891048e-07,0.3741704881191253,RandomSampler
93,ood,4.3555119533249774e-08,0.506349790096283,RandomSampler
94,ood,5.796588173137188e-05,0.1178114831447601,RandomSampler
95,ood,1.8553742114790454e-05,0.0,RandomSampler
96,ood,1.8553742114790454e-05,0.0,RandomSampler
97,ood,1.8553742114790454e-05,0.0,RandomSampler
98,ood,1.8553742114790454e-05,0.0,RandomSampler
99,ood,1.8553742114790454e-05,0.0,RandomSampler
100,ood,1.8553742114790454e-05,0.0,RandomSampler
101,ood,9.205390484584954e-20,0.9065103113651276,SequentialSampler
102,ood,2.356426664932779e-08,0.7965454757213593,SequentialSampler
103,ood,1.3862879717857145e-18,0.3881379067897796,SequentialSampler
104,ood,4.5487058926299993e-07,0.4375950157642364,SequentialSampler
105,ood,2.154415846811037e-08,0.4897861242294311,SequentialSampler
106,ood,4.29157264285308e-09,0.5411876916885376,SequentialSampler
107,ood,1.3618109480751836e-14,0.2852782011032104,SequentialSampler
108,ood,2.609859060713148e-25,0.7624589920043945,SequentialSampler
109,ood,4.0037241279626304e-10,0.3025931239128113,SequentialSampler
110,ood,4.172832391412415e-08,0.561645096540451,SequentialSampler
111,ood,1.1420221277868585e-20,0.5235977232456207,SequentialSampler
112,ood,1.0796021928529439e-07,0.0965857744216918,SequentialSampler
113,ood,7.464196913639601e-23,0.486315244436264,SequentialSampler
114,ood,2.609859060713148e-25,0.1513802587985992,SequentialSampler
115,ood,6.472311642978453e-14,0.8049000144004822,SequentialSampler
116,ood,2.3534970478379774e-14,0.6859750390052796,SequentialSampler
117,ood,9.241235863311873e-13,0.5919499278068543,SequentialSampler
118,ood,1.963843749528796e-05,0.1935350954532623,SequentialSampler
119,ood,1.315837537261076e-07,0.362211149930954,SequentialSampler
