,Unnamed: 0,fold,sampler,pvalue,loss
10,0,ind,ClassOrderSampler,5.4938855362448515e-15,"[     3.7553      3.1044      3.6786     0.88935     0.78411      2.7735      4.0742      3.8116     0.43816     0.47696      4.2007      1.2745      3.2009      1.5408      3.3594      1.9814      4.1603      2.4931     0.41677      1.6788    0.048821     0.12835     0.11195      2.0066     0.86748     0.67481
  0.00012552     0.60177     0.55221    0.029047      1.5692     0.40127      4.1932     0.38608    0.054209    0.023248      2.4611    0.030902   0.0051807    0.054608       3.569       4.214     0.20776      1.2909      4.1906     0.83395       1.024      4.1998      1.1852     0.29328]"
11,0,ind,ClassOrderSampler,9.401983895428932e-27,"[    0.34304     0.43519       0.342    0.053134    0.028809      1.4161      2.4176     0.18685      2.1476    0.039291     0.69465     0.59369    0.018753      1.2915      3.7763      1.6681      4.3195      4.2785      4.1692      4.1208      4.2895       4.317       4.304      4.1056      4.2139      4.2885
      4.2864      4.2234      4.1472      4.2713      4.3148      4.3265      4.2552      4.3622      4.2313      4.2431        4.08       4.141      4.2684      4.3569      4.1974       4.397      4.1993      4.2436      4.2746      4.2142      4.2226      4.3355      4.2746       4.084]"
12,0,ind,ClassOrderSampler,2.0660768262727546e-17,"[     4.0998      4.2915      4.2431      4.2908      4.2841      4.3331      4.3358      4.0377      4.3167      4.2157      4.2325      4.3497      4.2578      4.3004      4.2199      4.3169      4.3137       4.993      4.3279      4.2736      4.1085      4.2574      4.3576      4.5932      2.5659      3.2111
      3.1022      3.3153      2.8014      4.3252      3.1607       2.632      4.4359       2.876      3.0171      3.1018      2.7954      3.4006      2.9617      2.9492      3.1145      3.1728      3.9545      2.7557      2.2829      5.6998      2.5847      2.9861      3.3151      3.3233]"
13,0,ind,ClassOrderSampler,1.651604659850501e-19,"[     2.6843      2.3948      3.5777      2.6409      2.7093       2.768      2.9911      3.0738      2.9537      2.8557      3.2428      2.8428      2.6264      5.9674      4.1146      3.4973      5.5459      2.7288      3.3767      3.1216      4.1472   0.0018813  4.3868e-05   0.0013758     0.22319     0.24803
      4.4777      2.2934      2.1818      0.1964       0.708       4.465    0.050728   0.0065727   0.0061367     0.61692     0.54133    0.078693      2.0576      1.5519    0.010759   0.0033545  0.00067557    0.028687      2.7203    0.010034      4.4262    0.050687     0.99171     0.10841]"
14,0,ind,ClassOrderSampler,1.8265840589633915e-30,"[   0.039282           0      4.5053    0.021486       4.452     0.04939    0.032225    0.014146  1.1921e-07     0.23057   0.0096623      1.7807      4.4697    0.038616       1.328     0.38679    0.018835      2.7252    0.029643       3.419   0.0037807      1.6302     0.91014      4.0398   0.0001602      5.5253
  0.00025662  4.0531e-06    0.086954    0.054634      3.9582      3.7569      4.1847    0.040064      1.2704  1.1921e-07      1.1764        4.43      4.5341      1.2076  0.00014388      4.4635      4.4174      2.8525      1.1407      2.6951     0.19699     0.20326       2.411    0.043995]"
15,0,ind,ClassOrderSampler,4.895503094437662e-11,"[     2.4719      3.8335      4.5032   0.0054843        4.12      3.6488      4.2924      4.3305       4.387      4.1344      4.0813      4.2783      4.3899      3.8527      3.9853      4.7818      4.5195      4.4044      4.0772       4.098      4.0107       4.049      3.8023      4.3742      4.3184      4.3397
      4.1612      4.2712      4.0198      5.7068      7.7567      4.9941      3.5267      7.7904      9.1766      4.1244      8.8276      5.9288      4.1131      3.2772      5.6237         4.1      3.3253      3.7695      3.9169      3.2344      4.0676      11.066      7.9125      4.4757]"
16,0,ind,ClassOrderSampler,6.188290524819587e-20,"[     2.6743       2.712      3.5415      5.9604      3.4704      2.7257      8.5913      4.0993      3.1582      4.1053      3.0365      6.4195       4.036      7.9545      3.5593      2.9356      3.8582      2.7466       2.522      3.9709      3.0705      2.5187      2.6601      3.1232      3.1157      4.4443
      2.9068      3.4716      1.9318      2.8446      3.6341      4.2244      3.4688      2.8091      3.8606      3.7248      2.3013        3.93      3.0638      2.6226      4.4199      4.0776      4.0167      2.5842      3.6485      3.6626      4.3399      3.2267      3.1157      4.4278]"
17,0,ind,ClassOrderSampler,2.880738229669816e-30,"[     3.9775      2.1506      2.6332      2.0759      1.2173      2.7323      2.4518      1.8534      7.2046       2.386      2.5539      3.2502      2.7816      1.8947      2.2146      4.2312      1.9084      4.6639      1.7341      2.7323      2.2824      2.7898      2.4554      2.3446      2.6869      2.2845
      3.1651       2.036      4.2112      3.3867           0           0           0           0           0           0           0      1.1319           0           0           0           0  4.7684e-07  1.1921e-07           0           0           0           0           0           0]"
18,0,ind,ClassOrderSampler,4.937223707606539e-26,"[          0           0     0.12861           0           0           0           0           0           0           0           0           0   7.987e-06           0           0   9.727e-05           0           0           0  1.4305e-06           0           0           0           0      1.6077           0
           0           0           0           0           0      5.3545      4.9113       5.204      4.6519      13.731      5.9904      4.2648       4.897      4.4134      9.1049      4.9403       6.089      4.5908       4.846      4.4755      3.4099      2.9588       3.597      3.5711]"
19,0,ind,ClassOrderSampler,1.363362418016902e-13,"[     3.5394       3.474      3.3435      3.7248      3.3448      3.6491      3.4373      3.3232      3.1372      3.1096      3.3686      4.7971      3.6225      3.5206      3.3351       3.019      3.1943      3.2407      3.5601      3.6599      3.2829      3.5394      3.4314      3.7513      3.3909      3.0002
      3.3852      3.8694     0.83449      0.4979     0.16901      1.0692     0.32719      3.4257     0.71288      1.4766      1.0925     0.24691     0.62031     0.12087      3.7119       4.359    0.084592      1.7464     0.60098      2.2261      2.1437      4.0674      3.7804     0.55469]"
