,fold,pvalue,loss,sampler
36,ind,4.9218006981579036e-11,0.3504420906305313,ClusterSampler
37,ind,0.0215151649598606,0.561795037984848,ClusterSampler
38,ind,0.0696696733338059,0.1886705458164215,ClusterSampler
39,ind,0.0096959914614666,0.2640305489301681,ClusterSampler
40,ind,0.0005718378976365,0.4235261350870132,ClusterSampler
41,ind,0.0029959756135691,0.1807515293359756,ClusterSampler
42,ind,0.0861704396495697,0.2920566111803054,RandomSampler
43,ind,0.1560465459475777,0.2777655303478241,RandomSampler
44,ind,0.0696696733338059,0.4237558960914612,RandomSampler
45,ind,0.1560465459475777,0.3106285631656647,RandomSampler
46,ind,0.0861704396495697,0.3008600115776062,RandomSampler
47,ind,0.2235085480528018,0.3605331033468246,RandomSampler
48,ind,0.000810286440084,0.0748911708593368,SequentialSampler
49,ind,0.105800064353215,0.1061306357383728,SequentialSampler
50,ind,5.790280338456389e-07,0.5591194301843643,SequentialSampler
51,ind,6.0522169555922545e-09,0.3736028999090194,SequentialSampler
52,ind,0.0001295997464039,0.5264014571905136,SequentialSampler
53,ind,0.0276300428578349,0.2979929774999618,SequentialSampler
120,ood,0.0005718378976365,0.534659281373024,ClusterSampler
121,ood,0.0029959756135691,0.2074511259794235,ClusterSampler
122,ood,0.0001295997464039,0.2787877023220062,ClusterSampler
123,ood,0.016624704015678,0.4882775813341141,ClusterSampler
124,ood,0.0005718378976365,0.5446444869041442,ClusterSampler
125,ood,3.453865062349671e-13,0.6099038004875184,ClusterSampler
126,ood,7.345547838632435e-16,0.6503416210412979,ClusterSampler
127,ood,2.524076178535857e-05,0.5407772898674011,ClusterSampler
128,ood,1.1245396252925662e-08,0.6143485009670258,ClusterSampler
129,ood,0.0096959914614666,0.4431472927331924,RandomSampler
130,ood,0.016624704015678,0.5634892165660859,RandomSampler
131,ood,0.0001904469157108,0.6867480546236038,RandomSampler
132,ood,0.0011381457647432,0.4730059206485748,RandomSampler
133,ood,1.04874841850777e-05,0.5988485664129257,RandomSampler
134,ood,0.0073173620566811,0.3760923773050308,RandomSampler
135,ood,3.613100901976941e-18,0.0480482280254364,RandomSampler
136,ood,6.788353033305671e-23,0.0,RandomSampler
137,ood,6.788353033305671e-23,0.0,RandomSampler
138,ood,0.0015848989781653,0.8515278935432434,SequentialSampler
139,ood,5.832644856796994e-05,0.412866461277008,SequentialSampler
140,ood,1.5915884392671625e-06,0.5154869079589843,SequentialSampler
141,ood,1.1587364794052823e-07,0.5238685965538025,SequentialSampler
142,ood,0.0011381457647432,0.4321191102266312,SequentialSampler
143,ood,3.856122578409261e-05,0.3100917488336563,SequentialSampler
144,ood,7.213303933190605e-19,0.3188477516174316,SequentialSampler
145,ood,5.832644856796994e-05,0.7454375267028809,SequentialSampler
146,ood,0.0001295997464039,0.3927425116300583,SequentialSampler
