,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,loss,sampler
0,polyp_ind,polyp_ind,ResNetVAE,10,1.2484368163868577e-09,0.00020037382917069028,0.6117715835571289,ClusterSampler
1,polyp_ind,polyp_ind,ResNetVAE,10,1.0796021928529438e-07,0.00035640144010714247,0.44374175667762755,ClusterSampler
2,polyp_ind,polyp_ind,ResNetVAE,10,4.476078496820023e-06,0.06297834565003745,0.11447023749351501,ClusterSampler
3,polyp_ind,polyp_ind,ResNetVAE,10,5.054919657494562e-06,0.010329637176077959,0.21432653069496155,ClusterSampler
4,polyp_ind,polyp_ind,ResNetVAE,10,2.4388604669406625e-05,0.06297834565003745,0.5523055493831635,ClusterSampler
5,polyp_ind,polyp_ind,ResNetVAE,10,1.5808728274596894e-09,0.006806179435775496,0.5578476369380951,ClusterSampler
6,polyp_ind,polyp_ind,ResNetVAE,10,2.9335031105823794e-07,0.006806179435775496,0.21233043670654297,ClusterSampler
7,polyp_ind,polyp_ind,ResNetVAE,10,2.0408062200312993e-06,0.00020037382917069028,0.40627763867378236,ClusterSampler
8,polyp_ind,polyp_ind,ResNetVAE,10,5.702604680600104e-06,7.052441913048601e-06,0.20820151567459105,ClusterSampler
9,polyp_ind,polyp_ind,ResNetVAE,10,0.001137387552812581,0.25303977906339303,0.08966262936592102,ClusterSampler
10,polyp_ind,polyp_ind,ResNetVAE,10,1.7350663106940594e-07,0.04541899021115892,0.24788474440574645,ClusterSampler
11,polyp_ind,polyp_ind,ResNetVAE,10,1.5992710639354965e-07,0.15199631923056828,0.2683085024356842,ClusterSampler
0,polyp_ind,polyp_ind,ResNetVAE,10,2.6817030764720538e-05,0.15199631923056828,0.2383197069168091,RandomSampler
1,polyp_ind,polyp_ind,ResNetVAE,10,0.009010894844980624,0.31818120337184574,0.2645639002323151,RandomSampler
2,polyp_ind,polyp_ind,ResNetVAE,10,0.005200821478625401,0.39459210638345227,0.2253675103187561,RandomSampler
3,polyp_ind,polyp_ind,ResNetVAE,10,0.00012753116249668287,0.31818120337184574,0.4162703096866608,RandomSampler
4,polyp_ind,polyp_ind,ResNetVAE,10,0.00013061280172158436,0.19774379978505477,0.32126607894897463,RandomSampler
5,polyp_ind,polyp_ind,ResNetVAE,10,0.0001017017259138998,0.19774379978505477,0.30837271809577943,RandomSampler
6,polyp_ind,polyp_ind,ResNetVAE,10,5.945731696747624e-06,0.15199631923056828,0.2500943660736084,RandomSampler
7,polyp_ind,polyp_ind,ResNetVAE,10,0.00015785153323216708,0.06297834565003745,0.30478703379631045,RandomSampler
8,polyp_ind,polyp_ind,ResNetVAE,10,0.00011040502999473735,0.19774379978505477,0.28884015083312986,RandomSampler
9,polyp_ind,polyp_ind,ResNetVAE,10,3.5451135046644294e-05,0.11503649785001328,0.4715590298175812,RandomSampler
10,polyp_ind,polyp_ind,ResNetVAE,10,0.00024481983345422633,0.04541899021115892,0.4088434636592865,RandomSampler
11,polyp_ind,polyp_ind,ResNetVAE,10,3.937685270648759e-05,0.08578017804312826,0.4166033506393433,RandomSampler
0,polyp_ind,polyp_ind,ResNetVAE,10,1.8818822152028406e-12,0.002783205073058452,0.08241212368011475,SequentialSampler
1,polyp_ind,polyp_ind,ResNetVAE,10,0.0021027417140533403,0.04541899021115892,0.06737021803855896,SequentialSampler
2,polyp_ind,polyp_ind,ResNetVAE,10,2.1768053297680355e-06,0.31818120337184574,0.08997091054916381,SequentialSampler
3,polyp_ind,polyp_ind,ResNetVAE,10,8.28172119742901e-07,0.02243304151007743,0.12229036092758179,SequentialSampler
4,polyp_ind,polyp_ind,ResNetVAE,10,1.2484368163868577e-09,5.809627289330904e-05,0.6179640591144562,SequentialSampler
5,polyp_ind,polyp_ind,ResNetVAE,10,4.279843042635249e-10,0.002783205073058452,0.5002748012542725,SequentialSampler
6,polyp_ind,polyp_ind,ResNetVAE,10,1.4971690980741642e-10,2.9180030183082047e-10,0.2885370671749115,SequentialSampler
7,polyp_ind,polyp_ind,ResNetVAE,10,2.4388604669406625e-05,0.010329637176077959,0.45866873264312746,SequentialSampler
8,polyp_ind,polyp_ind,ResNetVAE,10,1.7345920158888364e-06,0.004396267459114668,0.6194147825241089,SequentialSampler
9,polyp_ind,polyp_ind,ResNetVAE,10,1.2337684764015563e-16,2.9797081712253577e-05,0.4333881318569183,SequentialSampler
10,polyp_ind,polyp_ind,ResNetVAE,10,1.315837537261076e-07,0.06297834565003745,0.26011759638786314,SequentialSampler
11,polyp_ind,polyp_ind,ResNetVAE,10,4.2319427209941875e-07,0.19774379978505477,0.33586835861206055,SequentialSampler
0,polyp_ind,polyp_ind,ResNetVAE,20,1.4709001144644481e-15,4.921800698157904e-11,0.35044209063053133,ClusterSampler
1,polyp_ind,polyp_ind,ResNetVAE,20,2.9502886777771605e-10,0.021515164959860632,0.561795037984848,ClusterSampler
2,polyp_ind,polyp_ind,ResNetVAE,20,8.307227663435887e-06,0.06966967333380593,0.1886705458164215,ClusterSampler
3,polyp_ind,polyp_ind,ResNetVAE,20,3.427316201170154e-09,0.009695991461466618,0.26403054893016814,ClusterSampler
4,polyp_ind,polyp_ind,ResNetVAE,20,1.1490597842869508e-14,0.0005718378976365663,0.42352613508701326,ClusterSampler
5,polyp_ind,polyp_ind,ResNetVAE,20,2.8211572196768464e-13,0.0029959756135691388,0.18075152933597566,ClusterSampler
0,polyp_ind,polyp_ind,ResNetVAE,20,9.794821116601823e-07,0.08617043964956975,0.29205661118030546,RandomSampler
1,polyp_ind,polyp_ind,ResNetVAE,20,3.5294976396968256e-08,0.15604654594757777,0.2777655303478241,RandomSampler
2,polyp_ind,polyp_ind,ResNetVAE,20,0.00014311220268879704,0.06966967333380593,0.4237558960914612,RandomSampler
3,polyp_ind,polyp_ind,ResNetVAE,20,6.450966986689262e-07,0.15604654594757777,0.3106285631656647,RandomSampler
4,polyp_ind,polyp_ind,ResNetVAE,20,9.611726648030854e-08,0.08617043964956975,0.3008600115776062,RandomSampler
5,polyp_ind,polyp_ind,ResNetVAE,20,9.392674727554513e-07,0.22350854805280182,0.36053310334682465,RandomSampler
0,polyp_ind,polyp_ind,ResNetVAE,20,3.607641490147569e-09,0.0008102864400840543,0.07489117085933686,SequentialSampler
1,polyp_ind,polyp_ind,ResNetVAE,20,3.427316201170154e-09,0.10580006435321504,0.10613063573837281,SequentialSampler
2,polyp_ind,polyp_ind,ResNetVAE,20,2.4533428173906603e-17,5.790280338456389e-07,0.5591194301843643,SequentialSampler
3,polyp_ind,polyp_ind,ResNetVAE,20,4.43496440812688e-10,6.052216955592254e-09,0.37360289990901946,SequentialSampler
