,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,sampler
0,Njordind,Njordind,VanillaVAE,10,0.00036214418770304214,0.16782134274394334,RandomSampler
1,Njordind,Njordind,VanillaVAE,10,0.0006781311497231072,0.41752365281777043,RandomSampler
2,Njordind,Njordind,VanillaVAE,10,0.0006603297149339603,0.16782134274394334,RandomSampler
3,Njordind,Njordind,VanillaVAE,10,0.008044208927193375,0.05244755244755244,RandomSampler
4,Njordind,Njordind,VanillaVAE,10,0.009722205739099654,0.41752365281777043,RandomSampler
5,Njordind,Njordind,VanillaVAE,10,0.009385591816695182,0.16782134274394334,RandomSampler
6,Njordind,Njordind,VanillaVAE,10,0.04261317278922838,0.16782134274394334,RandomSampler
7,Njordind,Njordind,VanillaVAE,10,0.020103514377287857,0.16782134274394334,RandomSampler
8,Njordind,Njordind,VanillaVAE,10,0.005216291104190932,0.05244755244755244,RandomSampler
9,Njordind,Njordind,VanillaVAE,10,0.004098192150823008,0.16782134274394334,RandomSampler
10,Njordind,Njordind,VanillaVAE,10,0.00216590551342489,0.41752365281777043,RandomSampler
11,Njordind,Njordind,VanillaVAE,10,0.06193587022710256,0.41752365281777043,RandomSampler
12,Njordind,Njordind,VanillaVAE,10,0.0012515254040591272,0.05244755244755244,RandomSampler
13,Njordind,Njordind,VanillaVAE,10,0.02997329397309534,0.16782134274394334,RandomSampler
14,Njordind,Njordind,VanillaVAE,10,0.004538441265792093,0.16782134274394334,RandomSampler
15,Njordind,Njordind,VanillaVAE,10,0.0029565074529644807,0.012340600575894691,RandomSampler
16,Njordind,Njordind,VanillaVAE,10,0.018033300137708763,0.41752365281777043,RandomSampler
17,Njordind,Njordind,VanillaVAE,10,0.007436190554271206,0.05244755244755244,RandomSampler
18,Njordind,Njordind,VanillaVAE,10,0.02204806948897986,0.41752365281777043,RandomSampler
19,Njordind,Njordind,VanillaVAE,10,0.007812998500016044,0.16782134274394334,RandomSampler
