,Feature Extractor,Dataset,Method,Fold,Sample Size,P,loss
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
