,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,sampler
0,Njordind,Njordind,VanillaVAE,10,0.02025138159957207,0.11503649785001328,RandomSampler
1,Njordind,Njordind,VanillaVAE,10,0.016770801668875235,0.08578017804312826,RandomSampler
2,Njordind,Njordind,VanillaVAE,10,0.0020764861038519,0.15199631923056828,RandomSampler
3,Njordind,Njordind,VanillaVAE,10,0.012147349297476961,0.004396267459114668,RandomSampler
4,Njordind,Njordind,VanillaVAE,10,0.0008404587372558441,0.002783205073058452,RandomSampler
5,Njordind,Njordind,VanillaVAE,10,0.0033511471752370203,0.004396267459114668,RandomSampler
6,Njordind,Njordind,VanillaVAE,10,0.001231143687748804,0.08578017804312826,RandomSampler
7,Njordind,Njordind,VanillaVAE,10,0.0032588322923106784,0.006806179435775496,RandomSampler
8,Njordind,Njordind,VanillaVAE,10,0.016925134782236118,0.11503649785001328,RandomSampler
9,Njordind,Njordind,VanillaVAE,10,1.5244780152736454e-06,0.010329637176077959,RandomSampler
10,Njordind,Njordind,VanillaVAE,10,0.019585383443861626,0.04541899021115892,RandomSampler
11,Njordind,Njordind,VanillaVAE,10,0.008062525379027519,0.02243304151007743,RandomSampler
12,Njordind,Njordind,VanillaVAE,10,0.00052200720531375,0.0017252080065113414,RandomSampler
13,Njordind,Njordind,VanillaVAE,10,0.009635994909048873,0.06297834565003745,RandomSampler
14,Njordind,Njordind,VanillaVAE,10,0.054055561399162455,0.08578017804312826,RandomSampler
15,Njordind,Njordind,VanillaVAE,10,0.000526028614658774,0.03219223124637178,RandomSampler
16,Njordind,Njordind,VanillaVAE,10,4.39782814731191e-05,0.11503649785001328,RandomSampler
17,Njordind,Njordind,VanillaVAE,10,0.00028026471362024293,0.31818120337184574,RandomSampler
18,Njordind,Njordind,VanillaVAE,10,0.0004258243888703108,0.08578017804312826,RandomSampler
19,Njordind,Njordind,VanillaVAE,10,1.1146562096363884e-05,0.02243304151007743,RandomSampler
20,Njordind,Njordind,VanillaVAE,10,0.001970706817549908,0.010329637176077959,RandomSampler
21,Njordind,Njordind,VanillaVAE,10,0.0032071177817719013,0.08578017804312826,RandomSampler
22,Njordind,Njordind,VanillaVAE,10,0.003130934582156626,0.010329637176077959,RandomSampler
23,Njordind,Njordind,VanillaVAE,10,0.011696818217133531,0.11503649785001328,RandomSampler
24,Njordind,Njordind,VanillaVAE,10,0.0007787743982234477,0.03219223124637178,RandomSampler
25,Njordind,Njordind,VanillaVAE,10,0.012651203927632526,0.11503649785001328,RandomSampler
26,Njordind,Njordind,VanillaVAE,10,0.003644226950373006,0.31818120337184574,RandomSampler
27,Njordind,Njordind,VanillaVAE,10,0.0007967404762998959,0.15199631923056828,RandomSampler
28,Njordind,Njordind,VanillaVAE,10,0.02555396619258188,0.19774379978505477,RandomSampler
29,Njordind,Njordind,VanillaVAE,10,0.0007409681213472478,0.02243304151007743,RandomSampler
